expansion_id,candidate_id,normalized_narrative_sha256,annotation_pass,sif_label,sif_evidence_excerpt,sif_rationale,hazard_energy_assessment,hazard_energy_evidence,personnel_exposure_assessment,personnel_exposure_evidence,barrier_failure_assessment,barrier_failure_evidence,credible_consequence_assessment,credible_consequence_evidence,uncertainty_reason,LSR01_target,LSR01_evidence,LSR01_violation_status,LSR01_unknown_reason,LSR02_target,LSR02_evidence,LSR02_violation_status,LSR02_unknown_reason,LSR03_target,LSR03_evidence,LSR03_violation_status,LSR03_unknown_reason,LSR04_target,LSR04_evidence,LSR04_violation_status,LSR04_unknown_reason,LSR05_target,LSR05_evidence,LSR05_violation_status,LSR05_unknown_reason,LSR06_target,LSR06_evidence,LSR06_violation_status,LSR06_unknown_reason,LSR07_target,LSR07_evidence,LSR07_violation_status,LSR07_unknown_reason,LSR08_target,LSR08_evidence,LSR08_violation_status,LSR08_unknown_reason,LSR09_target,LSR09_evidence,LSR09_violation_status,LSR09_unknown_reason,annotation_status,label_provenance,annotation_version,annotator_model,annotator_id,annotated_at_utc
EXP-V0.4-0314,OSHA-SIR-2023109668,56f16ba2cd86585bcb6110898e3856f93c2d8dac08666478dd6c2d29e39ada6d,PASS2,SIF_POTENTIAL,"An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.","The described machinery, cutting, pinch-point, or stored-energy exposure supports credible permanently disabling injury.",SUPPORTED,"An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.",SUPPORTED,"An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.",SUPPORTED,"An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.",SUPPORTED,"An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.",N/A,NEGATIVE,"An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.",NOT_ESTABLISHED,N/A,POSITIVE,"An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.",ESTABLISHED,N/A,NEGATIVE,"An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was cleaning a double burner when it fell and crushed their right middle finger, resulting in a partial amputation.",NOT_ESTABLISHED,N/A,RECOVERED_FIRST_PASS_NOT_INDEPENDENT,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-recovery-not-independent-batch-02,2026-09-10T19:35:42+00:00
EXP-V0.4-0315,OSHA-SIR-2017043850,3ffd86af3cc0aa208c08726524d732a6e50e342326eb74f9112db64f68fb9007,PASS2,NON_SIF_POTENTIAL,An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,"The described bite, contamination, or infection pathway does not support credible fatal or life-altering harm at the stated exposure.",SUPPORTED,An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,SUPPORTED,An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,NOT_SUPPORTED,An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,NOT_SUPPORTED,An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,N/A,NEGATIVE,An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was delivering mail at a customer's residence when the customer opened the door to take out the trash and a dog ran out and bit the employee's right forearm.,NOT_ESTABLISHED,N/A,RECOVERED_FIRST_PASS_NOT_INDEPENDENT,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-recovery-not-independent-batch-02,2026-09-10T19:35:42+00:00
EXP-V0.4-0316,OSHA-SIR-2022021274,3288cb2a4632324c52df932576fab9847157422dad38e8602030bbf3b502122a,PASS2,SIF_POTENTIAL,The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,The moving vehicle or mobile-equipment exposure supports credible fatal or permanently disabling impact or crush consequences.,SUPPORTED,The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,SUPPORTED,The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,SUPPORTED,The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,SUPPORTED,The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,N/A,NEGATIVE,The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,NOT_ESTABLISHED,N/A,NEGATIVE,The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,NOT_ESTABLISHED,N/A,POSITIVE,The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,NOT_ESTABLISHED,N/A,NEGATIVE,The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,NOT_ESTABLISHED,N/A,NEGATIVE,The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,NOT_ESTABLISHED,N/A,POSITIVE,The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,ESTABLISHED,N/A,NEGATIVE,The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,NOT_ESTABLISHED,N/A,NEGATIVE,The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,NOT_ESTABLISHED,N/A,NEGATIVE,The injured employee was walking back toward a plating line when he was struck by a reversing forklift. The employee sustained a fractured pelvis and ankle.,NOT_ESTABLISHED,N/A,RECOVERED_FIRST_PASS_NOT_INDEPENDENT,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-recovery-not-independent-batch-02,2026-09-10T19:35:42+00:00
EXP-V0.4-0317,OSHA-SIR-2017054018,560fc2d102d7c041ed4599fcc109aa7a3b1daf274f9fe2bda7a6edb1bce3fab0,PASS2,NON_SIF_POTENTIAL,"An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.","The described bite, contamination, or infection pathway does not support credible fatal or life-altering harm at the stated exposure.",SUPPORTED,"An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.",SUPPORTED,"An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.",NOT_SUPPORTED,"An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.",NOT_SUPPORTED,"An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.",N/A,NEGATIVE,"An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was holding and moving a house cat when it bit her right index finger. Her finger and hand became swollen due to an infection, requiring hospitalization.",NOT_ESTABLISHED,N/A,RECOVERED_FIRST_PASS_NOT_INDEPENDENT,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-recovery-not-independent-batch-02,2026-09-10T19:35:42+00:00
EXP-V0.4-0318,OSHA-SIR-2022075933,78b1dec33bd16eed6d3fdabf97fa738437d97107477f4762927218c6574cc07c,PASS2,SIF_POTENTIAL,"An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.","The described moving, falling, or uncontrolled load/object exposure supports credible fatal or permanently disabling crush or impact harm.",SUPPORTED,"An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.",SUPPORTED,"An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.",SUPPORTED,"An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.",SUPPORTED,"An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.",N/A,NEGATIVE,"An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.",NOT_ESTABLISHED,N/A,POSITIVE,"An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.",ESTABLISHED,N/A,NEGATIVE,"An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.",NOT_ESTABLISHED,N/A,NEGATIVE,"An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.",NOT_ESTABLISHED,N/A,POSITIVE,"An employee was inspecting rail cars from the top to ensure they were ready to accept grain for shipment. The rail car moved and he ducked to avoid the grain spout, which snagged his fall protection, causing him to fall into the rail car. His fall protection caught him, but he struck the wall of the car and suffered facial injuries including a potential orbital fracture.",NOT_ESTABLISHED,N/A,RECOVERED_FIRST_PASS_NOT_INDEPENDENT,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-recovery-not-independent-batch-02,2026-09-10T19:35:42+00:00
EXP-V0.4-0319,OSHA-SIR-2016053670,03243d53242a767a495f255f9500bf3bc190380409637fff55d183669c17ea19,PASS2,SIF_POTENTIAL,An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,"The described fire, pressure, chemical, atmospheric, or electrical exposure supports credible fatal or permanently disabling harm.",SUPPORTED,An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,SUPPORTED,An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,SUPPORTED,An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,SUPPORTED,An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,N/A,NEGATIVE,An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,NOT_ESTABLISHED,N/A,POSITIVE,An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,NOT_ESTABLISHED,N/A,POSITIVE,An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was refueling a crane at a customer site. The crane contacted high tension wires and the employee received an electrical shock.,NOT_ESTABLISHED,N/A,RECOVERED_FIRST_PASS_NOT_INDEPENDENT,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-recovery-not-independent-batch-02,2026-09-10T19:35:42+00:00
EXP-V0.4-0320,OSHA-SIR-2021043250,69b0007cdf81401e9d2e7a6dc8eef040c99471b7ec6399c607a4cdcc65d8efc7,PASS2,SIF_POTENTIAL,An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,The moving vehicle or mobile-equipment exposure supports credible fatal or permanently disabling impact or crush consequences.,SUPPORTED,An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,SUPPORTED,An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,SUPPORTED,An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,SUPPORTED,An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,N/A,NEGATIVE,An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,NOT_ESTABLISHED,N/A,POSITIVE,An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,NOT_ESTABLISHED,N/A,POSITIVE,An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,ESTABLISHED,N/A,NEGATIVE,An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was struck by a forklift in a warehouse. Both of the employee's feet were broken.,NOT_ESTABLISHED,N/A,RECOVERED_FIRST_PASS_NOT_INDEPENDENT,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-recovery-not-independent-batch-02,2026-09-10T19:35:42+00:00
EXP-V0.4-0321,OSHA-SIR-2015041934,30fde85e281591d8af9f56b87e1bc2722a9b1a510620320aaeaca4fcbe0ec16c,PASS2,SIF_POTENTIAL,"On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.","The described machinery, cutting, pinch-point, or stored-energy exposure supports credible permanently disabling injury.",SUPPORTED,"On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.",SUPPORTED,"On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.",SUPPORTED,"On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.",SUPPORTED,"On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.",N/A,NEGATIVE,"On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.",NOT_ESTABLISHED,N/A,NEGATIVE,"On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.",NOT_ESTABLISHED,N/A,NEGATIVE,"On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.",NOT_ESTABLISHED,N/A,NEGATIVE,"On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.",NOT_ESTABLISHED,N/A,NEGATIVE,"On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.",NOT_ESTABLISHED,N/A,POSITIVE,"On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.",ESTABLISHED,N/A,NEGATIVE,"On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.",NOT_ESTABLISHED,N/A,NEGATIVE,"On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.",NOT_ESTABLISHED,N/A,NEGATIVE,"On or about 12 April 2015, at approximately 1410 hours, an employee amputated the distal portion of his left-hand, index phalanges (no bone involved). He was installing a hydraulic cylinder on a drilling rig when the cylinder he was holding swung laterally, pinching his distal phalanges between the cylinder and the drilling rig structure.",NOT_ESTABLISHED,N/A,RECOVERED_FIRST_PASS_NOT_INDEPENDENT,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-recovery-not-independent-batch-02,2026-09-10T19:35:42+00:00
EXP-V0.4-0322,OSHA-SIR-2017065215,b3d880df8cee2ea1396f80861ffe124299036a209d5f7f4ebf6b182184912d13,PASS2,SIF_POTENTIAL,An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,"The described fire, pressure, chemical, atmospheric, or electrical exposure supports credible fatal or permanently disabling harm.",SUPPORTED,An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,SUPPORTED,An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,SUPPORTED,An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,SUPPORTED,An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,N/A,NEGATIVE,An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,NOT_ESTABLISHED,N/A,POSITIVE,An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,NOT_ESTABLISHED,N/A,POSITIVE,An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee was using a pneumatic tool to cut a gas line when he received an electric shock to his hands.,NOT_ESTABLISHED,N/A,RECOVERED_FIRST_PASS_NOT_INDEPENDENT,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-recovery-not-independent-batch-02,2026-09-10T19:35:42+00:00
EXP-V0.4-0323,OSHA-SIR-20161212025,67b43a6697eb452e1ed4930dd402df936730435e49a0bf071772fd4752f2b349,PASS2,UNCERTAIN,An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,The narrative does not state whether the compressor or its components were energized or moving during maintenance.,UNKNOWN,An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,SUPPORTED,An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,UNKNOWN,An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,UNKNOWN,An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,The narrative does not state whether the compressor or its components were energized or moving during maintenance.,NEGATIVE,An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,NOT_ESTABLISHED,N/A,UNKNOWN,An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,UNKNOWN,The narrative lacks enough activity or control detail to assess this rule reliably.,NEGATIVE,An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,NOT_ESTABLISHED,N/A,POSITIVE,An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,ESTABLISHED,N/A,NEGATIVE,An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,NOT_ESTABLISHED,N/A,POSITIVE,An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,NOT_ESTABLISHED,N/A,NEGATIVE,An employee's left ring fingertip was caught between the cylinder and motor as he was performing maintenance on a compressor.,NOT_ESTABLISHED,N/A,RECOVERED_FIRST_PASS_NOT_INDEPENDENT,AI_ASSISTED_GPT_5_6_SOL_NOT_HSE_GROUND_TRUTH,gpt-5.6-sol-ai-assisted-v0.4.0,gpt-5.6-sol,main-agent-recovery-not-independent-batch-02,2026-09-10T19:35:42+00:00
