expansion_id,candidate_id,source,source_record_id,source_year,report_type_if_known,activity_if_known,location_if_known,narrative,source_native_outcome,source_native_classification,duplicate_group,normalized_narrative_sha256,retrieval_strata,primary_stratum,length_band,partition,selection_basis
EXP-V0.4-0439,OSHA-SIR-2021108620,OSHA_SIR,2021108620,2021,Incident,Fall on same level due to tripping on uneven surface,"SANFORD, FLORIDA","An employee stepped back, tripped over soft sand, and fell, breaking his left leg.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-aeb703dc978d,63c80d33d7c3663b8902dcdfedf464b53da2a6e1bb3ac45200f65a8e128914a6,GENERAL,GENERAL,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0440,OSHA-SIR-2023054752,OSHA_SIR,2023054752,2023,Incident,Fall while sitting,"WARREN, PENNSYLVANIA","The employee had clocked out for the day and was leaving the facility. As the employee was going down an exit ramp to the parking lot, their wheelchair struck a bump and the foot plate became jammed. The employee was ejected from the wheelchair onto the concrete/pavement and sustained a hip fracture.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-dd3294978777,4feb937d4bea172b5738fb20fd8fa2f2b4ff6cbd36877e25c5c2c62e7b4e5248,GENERAL,GENERAL,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0441,OSHA-SIR-2017087996,OSHA_SIR,2017087996,2017,Incident,"Hitting, kicking, beating, shoving","AURORA, ILLINOIS",An employee was apprehending a suspect at the west side building entrance. The employee was attacked by another suspect resulting in a broken jaw requiring surgery.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-9172a09bdd3f,152d8a4f7e2474b03db1315c80da70be60c02591bbbb76af4a37a202a71e2a34,GENERAL,GENERAL,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0442,OSHA-SIR-2024053798,OSHA_SIR,2024053798,2024,Incident, Fall to lower level from collapsing structure or equipment  6 to 30 feet,"SPENCER, WISCONSIN",An employee was descending the fixed ladder on an open-top trailer of wood chips when the top rung broke and they fell approximately eight feet to the ground. They sustained a fractured vertebra in their back.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-19572c2571bd,abbf2f4a81b9a817398e583b62d8c79603f3e8d0d1a510cd751b97de22efb9d9,LSR09,LSR09,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0443,OSHA-SIR-20241110430,OSHA_SIR,20241110430,2024,Incident, Fall on same level  n.e.c.,"FORT LAUDERDALE, FLORIDA","An employee was walking to the supply room during a code rescue, and as she turned a corner, she twisted her right ankle, causing her to fall and fracture it.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-564b8b10d883,a748162760aa6f0c7b73bb09abc060bae2eb368e7d09a1c5998c6617667cff2c,HAZARD_TERM_POSSIBLE_NON_SIF,HAZARD_TERM_POSSIBLE_NON_SIF,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0444,OSHA-SIR-2019011093,OSHA_SIR,2019011093,2019,Incident,Contact with cold objects or substances,"HOUSTON, TEXAS","A trainee employee was connecting a propane hose to a cylinder tank when his hand hit the handle to open the valve. The propane hose came loose and the employee's jacket was soaked with the propane. The employee received propane burns on his left leg and ankle, his right wrist, and abdominal area.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-7a546ffce990,40d20e9370046d0ae2abcb1c47ba8e6111ef713fc121ad00004f27119c932c9c,LSR02;HAZARD_TERM_POSSIBLE_NON_SIF,LSR02,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0445,OSHA-SIR-2024021637,OSHA_SIR,2024021637,2024,Incident, Contact incidents  unspecified,"PORT ISABEL, TEXAS","An employee was respooling a wire drum for a crane when they were struck by a pole that held the drum, resulting in hospitalization due to multiple fractures and head trauma.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-435e29845690,5beeeff0e8499c19fef27c529c7a852c15303742b021f1e71e75bfea0504fedf,LSR06;LSR07,LSR06,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0446,OSHA-SIR-2016054050,OSHA_SIR,2016054050,2016,Incident,Injured by slipping or swinging object held by injured worker,"MONT BELVIEU, TEXAS","An employee was grinding on a structural handrail for a work platform with a grating floor. The employee lost control of the grinder, which lacerated and fractured his left index finger. His left index fingertip was surgically amputated.",Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-5879e1090328,a6f0553b37dc2d7adb220cc1562e26b83c45a32b4488e65b7ae97f30d8be70da,LSR05,LSR05,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0447,OSHA-SIR-2017088140,OSHA_SIR,2017088140,2017,Incident,Shooting by other person-intentional,"DENVER, COLORADO","A security guard was performing a welfare check on a man who pulled a gun and tried to shoot her. She then fell back and braced her fall with her left hand, breaking her wrist and requiring hospitalization.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-9ba911c59bb6,704c6e76acbd1124dcf9c88be7a6bdfa4373b2b7bd513716e5a15fda75b499c9,HAZARD_TERM_POSSIBLE_NON_SIF,HAZARD_TERM_POSSIBLE_NON_SIF,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0448,OSHA-SIR-2025010601,OSHA_SIR,2025010601,2025,Incident, Contact incidents  unspecified,"JACKSONVILLE, FLORIDA",An employee was adjusting the height of a gantry crane when their left index finger became caught in a leg pinhole as the crane was lowered. The employee sustained an amputation of their left index finger at the first joint.,Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-92c42114d0eb,ec99858b0edd5a5b41615e26134af9eeb9c87e24a59f0036992b319d61d20bbd,LSR07;HAZARD_TERM_POSSIBLE_NON_SIF,LSR07,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0449,OSHA-SIR-2023021534,OSHA_SIR,2023021534,2023,Incident,Stepped on object ,"LINDEN, NEW JERSEY","An employee was stepping down from one level to another, about 10 inches below, when he lost his balance and stepped on a protruding 3/8-inch rod. The rod punctured the sole of his right foot.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-a0e40c2122fc,f475bbc33e4f601689cc20c67b3f78d0bb47f07e88ff19af99810ce5519c3e4c,GENERAL,GENERAL,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0450,OSHA-SIR-20241110767,OSHA_SIR,20241110767,2024,Incident, Nonroadway noncollision  jack-knifed or ran off driving surface,"WELLTON, ARIZONA","An employee was operating an all-terrain vehicle when the vehicle dropped into a wash. The suspension pushed back on the handlebars, causing injuries to both of the employee's arms. The employee sustained a sprained right wrist, overextended left triceps, a hematoma on his upper leg, and a hematoma on his right bicep.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-f722b7653c6a,b3df5fe48713a38b9ee2e67270ae957928c1f9760979d0db1d9438e8f4f0b9a0,LSR03;HAZARD_TERM_POSSIBLE_NON_SIF,LSR03,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0451,OSHA-SIR-2025054634,OSHA_SIR,2025054634,2025,Incident, Caught or wedged between objects  nonrunning,"ARCADIA, OKLAHOMA","An employee and a forklift driver were lifting a bundle of plywood material that had a 2 x 6 at the bottom of the stack. The employee went to get the 2 x 6 when the driver started moving it on the opposite side. The employee's right middle finger got crushed between the bundle and the fork, resulting in a partial amputation.",Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-547d6b27b9c4,d49caf3eef8d66a09f035861aff274e74fd3c5d8b84abcd0741d9f31dea6dbf1,LSR03;LSR06;HIGH_RISK;HAZARD_TERM_POSSIBLE_NON_SIF,LSR03,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0452,OSHA-SIR-2024054696,OSHA_SIR,2024054696,2024,Incident, Fall to lower level from collapsing structure or equipment  unspecified,"FITCHBURG, WISCONSIN",An employee was on an extension ladder at a private residence when the ladder slipped out from underneath them and they fell to the ground-level deck. The employee sustained fractures in their leg and foot.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-e5b6a8d163d9,83b5046153c339a221ab5b931fe5cf89e9e77b8bcb98835fefcefb62fddeba23,LSR09,LSR09,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0453,OSHA-SIR-20251111678,OSHA_SIR,20251111678,2025,Incident, Caught or wedged between objects  nonrunning,"EVANSVILLE, WISCONSIN",An employee was grinding bevels into a stiffener (flat steel bar that is installed perpendicular to an I-beam). He finished the bevel on one side and was pushing the stiffener away from himself to flip it over. His right middle finger became caught between the stiffener and the flange of the beam which weighed approximately 200 pounds. The employee sustained a partial amputation/avulsion of their fingertip.,Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-d6d95487156f,35f3d0315b42bd90732bbaa4db6b5fef1c12dbdb41c5c6f6827fd0c496a82f24,LSR05;LSR06,LSR05,long,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0454,OSHA-SIR-2024076927,OSHA_SIR,2024076927,2024,Incident, Struck by dislodged or detached object(s),"POWELL, OHIO","An employee was cutting wood flooring materials in the driveway of a residential construction worksite. The employee used a table saw to rip the tongue off a fresh cut of wood approximately 12"" in length. The saw kicked back, which sent the board forcefully backward into the employee's right knee. The board then ricocheted into their left arm. The impact from the wooden board ruptured the bursa sac in the employee's knee, requiring hospitalization for surgery. The employee also sustained a fractured femur.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-1c3cd8115e5d,191d033a9a0e670b009a89cdaa0971cf2d5b0d58af5685df7ed4cc8b5137a93d,GENERAL,GENERAL,long,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0455,OSHA-SIR-2022043641,OSHA_SIR,2022043641,2022,Incident,"Other jump to lower level, unspecified","HOMESTEAD, FLORIDA","A concrete panel was standing upright on the ground, rigged for lifting and secured from falling over. An employee was on a ladder, unhooking crane rigging, when the crane boom was lowered. The panel leaned toward him and he jumped off the ladder, thinking it was about to fall over. He landed on both feet and suffered fractures to both heels. He was hospitalized.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-4eece318ed45,2472ba016c5ceb4762c2b49d61cddbaaad6da25eb043fcfc16408783e1114c73,LSR07;LSR09,LSR07,long,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
