expansion_id,candidate_id,source,source_record_id,source_year,report_type_if_known,activity_if_known,location_if_known,narrative,source_native_outcome,source_native_classification,duplicate_group,normalized_narrative_sha256,retrieval_strata,primary_stratum,length_band,partition,selection_basis
EXP-V0.4-0002,OSHA-SIR-2022086730,OSHA_SIR,2022086730,2022,Incident,"Caught in or compressed by equipment or objects, unspecified","BESSEMER, ALABAMA",A maintenance employee was taking a master link out of a chain when his hand got caught between the chain and sprocket resulting in fractures to the left hand.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-84bfea518aed,dc81d642b84cd2fa701a6fc5e2545158c968131e89326c21b4d24d791b0acfbe,LSR06,LSR06,short,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0004,OSHA-SIR-2020010318,OSHA_SIR,2020010318,2020,Incident,Part of occupant s body caught between vehicle and other object in nonroadway transport incident,"CHICAGO, ILLINOIS","An employee was driving a bag cart down a ramp. Her left leg was caught between the bag cart and a wall. The leg was broken and she was hospitalized, undergoing surgery.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-716d813ca5c2,c441fffb850f54a14a051b4e081f7c6dcb8680b0b5ab32621362e99d0a467b9d,LSR03;LSR06,LSR03,short,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0009,OSHA-SIR-2017088105,OSHA_SIR,2017088105,2017,Incident,Other fall to lower level less than 6 feet,"APPLETON, WISCONSIN","On 8/23/2017, an employee was exiting the driver area of a delivery vehicle when he slipped and fell to the ground, fracturing his wrist.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-38d7469e2f23,f721b835d8c8b302dcee7f2bcb97ec0b5884112faf9dfc85238c6e9f61f04c13,LSR03;HAZARD_TERM_POSSIBLE_NON_SIF,LSR03,short,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0015,OSHA-SIR-2024043733,OSHA_SIR,2024043733,2024,Incident, Other fall to lower level  unspecified,"MADISON, WISCONSIN","An employee fell from a portable ladder to the cement floor while reaching for items on the second shelf of storage shelving. They fell on their left side and broke their left humerus, left fibula, and the left pelvis.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-63211ac501d3,e0aea345d876bd9b5f5d04c19563d5c22e2e9a4aeae52317f91f2b87ca31bbd5,LSR09,LSR09,medium,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0019,OSHA-SIR-2024088102,OSHA_SIR,2024088102,2024,Incident, Other fall to lower level  unspecified,"MOUNT PLEASANT, TEXAS",An employee was on a ladder cleaning an elevated drip pan. The employee fell from the ladder to the floor and suffered a broken right elbow and wrist.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-230a0d4a2b1f,8d2d7250b24e2fa6c1b92374aefc8b3e0d151f29ab8dc3c5f7c813a7e62bf723,LSR09;HAZARD_TERM_POSSIBLE_NON_SIF,LSR09,short,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0021,OSHA-SIR-2023065173,OSHA_SIR,2023065173,2023,Incident,"Pedestrian struck by vehicle in nonroadway area, n.e.c.","JESSUP, PENNSYLVANIA","An employee was walking through the parking lot, returning from their break, when a motor vehicle struck them. The employee sustained a concussion, facial fracture, and contusions.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-f626a5730873,7bb5766f4bad9b228938e52d31b76cb22506017ece25009d71d36012bb4cec49,LSR03,LSR03,short,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0030,OSHA-SIR-2021065094,OSHA_SIR,2021065094,2021,Incident,"Caught in or compressed by equipment or objects, unspecified","SHARONVILLE, OHIO","An employee was using a flange-making machine to make a head for tanks/vessels. The employee stopped the machine to take a measurement of the head with a tape measure. Their glove became caught and their right hand was crushed between the side roll and the head, resulting in five broken bones in the hand and three broken fingers.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-e1e1024268c3,1f4e00188cae4e02728e92c341d4d3571e0ab858c42f05dc4022904553370163,LSR06;HIGH_RISK;HAZARD_TERM_POSSIBLE_NON_SIF,LSR06,medium,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0032,OSHA-SIR-20191010466,OSHA_SIR,20191010466,2019,Incident,"Ignition of vapors, gases, or liquids","MARION, ILLINOIS","On 10/07/2019, at approximately 17:45, an employee was filling a propane tank inside a scrubber when a static ignition source was created and ignited the propane vapors in the area, causing a flash fire. The employee received burns to the left arm and both legs, requiring hospitalization.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-041fadf06a82,af6b8aeea9044e7e07722db9fbeff89eb267dbf4379f6d0047956ceab4815376,LSR02;LSR05,LSR02,medium,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0033,OSHA-SIR-2024043742,OSHA_SIR,2024043742,2024,Incident, Fall on same level  unspecified,"SHENANDOAH, PENNSYLVANIA","An employee entered a freezer with a pallet jack loaded with product and may have fallen on the same level in the walk-in freezer, striking the back of his head. As he was exiting the freezer about three minutes later, he was unstable from a head injury with intracranial hemorrhage and loss of consciousness. He was hospitalized.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-1499ef74993a,b4c4c26ee287fe237af79d560d537b35a0ecb33f8fa8253536b4df747836f73d,GENERAL,GENERAL,medium,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0036,OSHA-SIR-2025099529,OSHA_SIR,2025099529,2025,Incident, Fall to lower level from collapsing structure or equipment  unspecified,"ATHENS, TEXAS",An employee was standing on an extension ladder that was leaning against the wall while pulling wire through the ceiling. The ladder and the employee slipped and fell to the floor. The employee was hospitalized with a fractured femur.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-43eefd97faf0,6291c144d76aee8000bc38f9be274bf061a433f6acdb7a8f224033fa1b557b04,LSR09,LSR09,medium,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0039,OSHA-SIR-2025088657,OSHA_SIR,2025088657,2025,Incident, Struck by discharged object or substance ,"HARWOOD HEIGHTS, ILLINOIS",An employee was pressure washing outside with a 3400-psi pressure washer when the pressurized water spray cut through his right shoe and lacerated his middle toe. The employee's toe became swollen. He was hospitalized for possible infection and underwent surgery.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-2647a9a4356f,3576d8d6d9858a171c564da92a1635b4299309f0965703981ad07d207b304fd8,HAZARD_TERM_POSSIBLE_NON_SIF,HAZARD_TERM_POSSIBLE_NON_SIF,medium,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0046,OSHA-SIR-2023109095,OSHA_SIR,2023109095,2023,Incident,"Nonroadway collision with object other than vehicle, n.e.c.","PENSACOLA, FLORIDA",An employee was operating a forklift when the mast struck a light post. The light post then fell on the employee's head resulting in skull fractures.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-87ce3a41984e,ba64d065f5b2eb44a1e1e38c5d6c90632ba74e91353e0a7d2bc9cdd07542ba4a,LSR03,LSR03,short,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0049,OSHA-SIR-20221110308,OSHA_SIR,20221110308,2022,Incident,Nonclassifiable,"BIRMINGHAM, ALABAMA",An employee was cutting a weld on the tine of a piece of equipment. The employee suffered a broken arm.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-5015fc8fd5b1,62cd5d8ce6ff34237d59583301083894817ed69a500f3f3a73cbb49edc22be5a,LSR05,LSR05,short,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0054,OSHA-SIR-2018099357,OSHA_SIR,2018099357,2018,Incident,Other fall to lower level less than 6 feet,"JACKSONVILLE, FLORIDA","An employee was carrying a car bumper down an enclosed stairway. As he approached the floor level, he missed a step and fell to the floor, breaking his right ankle and requiring hospitalization and surgery.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-f05a75f4de9b,6825620f4c57ee3d01791f0ea49a322a40f3a8db3ab8a1e8129b00a216935994,LSR03,LSR03,medium,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0059,OSHA-SIR-2019099704,OSHA_SIR,2019099704,2019,Incident,Injured by slipping or swinging object held by injured worker,"COLONIE, NEW YORK","An employee was grinding/cutting off an old steel column for an overhead canopy using a 4.5"" angle grinder with a cut-off disc when the grinder slipped and severely lacerated the employee's left arm.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-0ae8c8c84610,e58bccae99ca4da7bc26be53eb6db3c5b76c2440848d0f886a48b0c51aa5c0d3,LSR05,LSR05,medium,fresh_final_assessment,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
