candidate_id,final_sif_label,source,source_record_id,event_group
OSHA-SIR-2015010024,SIF_POTENTIAL,OSHA_SIR,2015010024,event_group_0412
OSHA-SIR-2015010054,SIF_POTENTIAL,OSHA_SIR,2015010054,event_group_0309
OSHA-SIR-2015010068,NON_SIF_POTENTIAL,OSHA_SIR,2015010068,event_group_0314
OSHA-SIR-2015010074,NON_SIF_POTENTIAL,OSHA_SIR,2015010074,event_group_0168
OSHA-SIR-2015010140,SIF_POTENTIAL,OSHA_SIR,2015010140,event_group_0246
OSHA-SIR-2015010181,NON_SIF_POTENTIAL,OSHA_SIR,2015010181,event_group_0224
OSHA-SIR-2015010253,SIF_POTENTIAL,OSHA_SIR,2015010253,event_group_0234
OSHA-SIR-2015010271,SIF_POTENTIAL,OSHA_SIR,2015010271,event_group_0221
OSHA-SIR-2015010273,SIF_POTENTIAL,OSHA_SIR,2015010273,event_group_0361
OSHA-SIR-2015010318,NON_SIF_POTENTIAL,OSHA_SIR,2015010318,event_group_0351
OSHA-SIR-2015010325,SIF_POTENTIAL,OSHA_SIR,2015010325,event_group_0148
OSHA-SIR-2015010363,NON_SIF_POTENTIAL,OSHA_SIR,2015010363,event_group_0249
OSHA-SIR-2015010364,SIF_POTENTIAL,OSHA_SIR,2015010364,event_group_0308
OSHA-SIR-2015010399,SIF_POTENTIAL,OSHA_SIR,2015010399,event_group_0431
OSHA-SIR-2015010417,SIF_POTENTIAL,OSHA_SIR,2015010417,event_group_0258
OSHA-SIR-2015010441,SIF_POTENTIAL,OSHA_SIR,2015010441,event_group_0373
OSHA-SIR-2015010444,SIF_POTENTIAL,OSHA_SIR,2015010444,event_group_0420
OSHA-SIR-2015010448,SIF_POTENTIAL,OSHA_SIR,2015010448,event_group_0151
OSHA-SIR-2015010478,SIF_POTENTIAL,OSHA_SIR,2015010478,event_group_0271
OSHA-SIR-2015010522,SIF_POTENTIAL,OSHA_SIR,2015010522,event_group_0267
OSHA-SIR-2015010541,SIF_POTENTIAL,OSHA_SIR,2015010541,event_group_0260
OSHA-SIR-2015010569,SIF_POTENTIAL,OSHA_SIR,2015010569,event_group_0304
OSHA-SIR-2015010658,SIF_POTENTIAL,OSHA_SIR,2015010658,event_group_0372
